"","Date","OnDeckBatter","OPS+","ROB","LI","Result"
"1454","2023-09-30","Lane Thomas",102,"---",".87","1B"
"1455","2023-09-29","Jonathan India",94,"---",".15","1B"
"1456","2023-09-30","Mike Moustakas",76,"1--","2.56","2B"
"1457","2023-09-30","Willi Castro",86,"1--",".00","HR"
"1458","2023-09-30","Rafael Devers",141,"---",".23","1B"
"1459","2023-09-30","Cody Bellinger",81,"1--","1.28","BB"
"1462","2023-09-30","Austin Slater",121,"---",".58","Out"
"1464","2023-10-01","Jo Adell",78,"---",".37","Out"
"1465","2023-10-01","Jordan Luplow",79,"-23","6.35","HBP"
"1466","2023-10-01","Brendan Rodgers",97,"---","2.35","Out"
"1468","2023-10-01","Eddie Rosario",62,"-2-","4.94","SO"
"1471","2023-10-01","Liover Peguero",144,"---","1.51","SO"
"1472","2023-10-01","Freddie Freeman",156,"1--","1.59","Out"
